"","X","Semester","Banyak","namaPT","namaProdi","statusProdi","tanggalBerdiri"
"65",65,"Ganjil 2016","82","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"66",66,"Genap 2015","127","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"67",67,"Ganjil 2015","127","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"68",68,"Genap 2014","108","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"69",69,"Ganjil 2014","115","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"70",70,"Genap 2013","93","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"71",71,"Ganjil 2013","106","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"72",72,"Genap 2012","87","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"73",73,"Ganjil 2012","93","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"74",74,"Genap 2011","89","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"75",75,"Ganjil 2011","88","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"76",76,"Genap 2010","89","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"77",77,"Ganjil 2010","97","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"78",78,"Genap 2009","104","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"79",79,"Ganjil 2009","109","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","22 Mei 1992"
"80",80,"Ganjil 2017","191","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"81",81,"Genap 2016","179","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"82",82,"Ganjil 2016","209","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"83",83,"Genap 2015","228","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"84",84,"Ganjil 2015","228","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"85",85,"Genap 2014","198","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"86",86,"Ganjil 2014","201","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"87",87,"Genap 2013","170","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"88",88,"Ganjil 2013","195","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"89",89,"Genap 2012","170","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"90",90,"Ganjil 2012","175","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"91",91,"Genap 2011","156","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"92",92,"Ganjil 2011","161","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"93",93,"Genap 2010","142","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"94",94,"Ganjil 2010","142","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"95",95,"Genap 2009","135","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"96",96,"Ganjil 2009","138","Universitas Persada Indonesia Yai","Arsitektur","Aktif","20 Mei 1985"
"97",97,"Ganjil 2017","995","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"98",98,"Genap 2016","1180","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"99",99,"Ganjil 2016","1379","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"100",100,"Genap 2015","1506","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"101",101,"Ganjil 2015","839","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"102",102,"Genap 2014","1419","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"103",103,"Ganjil 2014","1477","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"104",104,"Genap 2013","1307","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"105",105,"Ganjil 2013","1414","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"106",106,"Genap 2012","1248","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"107",107,"Ganjil 2012","1318","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"108",108,"Genap 2011","1116","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"109",109,"Ganjil 2011","1176","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"110",110,"Genap 2010","975","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"111",111,"Ganjil 2010","1091","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"112",112,"Genap 2009","974","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"113",113,"Ganjil 2009","1102","Universitas Persada Indonesia Yai","Manajemen","Aktif","14 Februari 1972"
"114",114,"Ganjil 2017","84","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"115",115,"Genap 2016","54","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"116",116,"Ganjil 2016","57","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"117",117,"Genap 2015","58","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"118",118,"Ganjil 2015","59","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"119",119,"Genap 2014","55","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"120",120,"Ganjil 2014","49","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"121",121,"Genap 2013","49","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"122",122,"Ganjil 2013","48","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"123",123,"Genap 2012","50","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"124",124,"Ganjil 2012","50","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"125",125,"Genap 2011","30","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"126",126,"Ganjil 2011","41","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"127",127,"Genap 2010","27","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"128",128,"Ganjil 2010","29","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"129",129,"Genap 2009","13","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"130",130,"Ganjil 2009","15","Universitas Persada Indonesia Yai","Teknik Sipil","Aktif","5 September 2005"
"131",131,"Ganjil 2017","476","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"132",132,"Genap 2016","540","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"133",133,"Ganjil 2016","574","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"134",134,"Genap 2015","631","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"135",135,"Ganjil 2015","647","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"136",136,"Genap 2014","559","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"137",137,"Ganjil 2014","578","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"138",138,"Genap 2013","542","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"139",139,"Ganjil 2013","595","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"140",140,"Genap 2012","545","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"141",141,"Ganjil 2012","590","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"142",142,"Genap 2011","521","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"143",143,"Ganjil 2011","526","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"144",144,"Genap 2010","464","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"145",145,"Ganjil 2010","640","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"146",146,"Genap 2009","569","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"147",147,"Ganjil 2009","576","Universitas Persada Indonesia Yai","Desain Komunikasi Visual","Aktif","7 Agustus 2003"
"148",148,"Ganjil 2017","104","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"149",149,"Genap 2016","93","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"150",150,"Ganjil 2016","118","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"151",151,"Genap 2015","227","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"152",152,"Ganjil 2015","231","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"153",153,"Genap 2014","225","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"154",154,"Ganjil 2014","232","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"155",155,"Genap 2013","211","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"156",156,"Ganjil 2013","236","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"157",157,"Genap 2012","203","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"158",158,"Ganjil 2012","219","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"159",159,"Genap 2011","186","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"160",160,"Ganjil 2011","193","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"161",161,"Genap 2010","179","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"162",162,"Ganjil 2010","195","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"163",163,"Genap 2009","222","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"164",164,"Ganjil 2009","243","Universitas Persada Indonesia Yai","Manajemen Informatika","Aktif","12 Agustus 2004"
"165",165,"Ganjil 2017","74","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"166",166,"Genap 2016","60","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"167",167,"Ganjil 2016","33","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"168",168,"Genap 2015","45","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"169",169,"Ganjil 2015","19","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"170",170,"Genap 2014","73","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"171",171,"Ganjil 2014","68","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"172",172,"Genap 2013","78","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"173",173,"Ganjil 2013","84","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"174",174,"Genap 2012","68","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"175",175,"Ganjil 2012","67","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"176",176,"Genap 2011","51","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"177",177,"Ganjil 2011","53","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"178",178,"Genap 2010","47","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"179",179,"Ganjil 2010","49","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"180",180,"Genap 2009","46","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"181",181,"Ganjil 2009","48","Universitas Persada Indonesia Yai","Ilmu Psikologi","Aktif","9 Juli 2003"
"182",182,"Ganjil 2017","258","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"183",183,"Genap 2016","234","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"184",184,"Ganjil 2016","283","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"185",185,"Genap 2015","324","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"186",186,"Ganjil 2015","332","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"187",187,"Genap 2014","131","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"188",188,"Ganjil 2014","304","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"189",189,"Genap 2013","263","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"190",190,"Ganjil 2013","306","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"191",191,"Genap 2012","266","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"192",192,"Ganjil 2012","295","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"193",193,"Genap 2011","274","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"194",194,"Ganjil 2011","284","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"195",195,"Genap 2010","279","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"196",196,"Ganjil 2010","283","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"197",197,"Genap 2009","267","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"198",198,"Ganjil 2009","308","Universitas Persada Indonesia Yai","Teknik Industri","Aktif","9 November 1993"
"199",199,"Ganjil 2017","276","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"200",200,"Genap 2016","255","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"201",201,"Ganjil 2016","302","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"202",202,"Genap 2015","364","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"203",203,"Ganjil 2015","291","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"204",204,"Genap 2014","507","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"205",205,"Ganjil 2014","371","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"206",206,"Genap 2013","433","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"207",207,"Ganjil 2013","472","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"208",208,"Genap 2012","556","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"209",209,"Ganjil 2012","622","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"210",210,"Genap 2011","522","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"211",211,"Ganjil 2011","551","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"212",212,"Genap 2010","426","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"213",213,"Ganjil 2010","455","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"214",214,"Genap 2009","319","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"215",215,"Ganjil 2009","325","Universitas Persada Indonesia Yai","Psikologi","Aktif","9 Juni 2000"
"216",216,"Ganjil 2017","1839","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"217",217,"Genap 2016","1764","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"218",218,"Ganjil 2016","2184","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"219",219,"Genap 2015","2275","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"220",220,"Ganjil 2015","2366","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"221",221,"Genap 2014","2159","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"222",222,"Ganjil 2014","2223","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"223",223,"Genap 2013","1995","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"224",224,"Ganjil 2013","2270","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"225",225,"Genap 2012","1945","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"226",226,"Ganjil 2012","2100","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"227",227,"Genap 2011","1918","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"228",228,"Ganjil 2011","2107","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"229",229,"Genap 2010","1899","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"230",230,"Ganjil 2010","2105","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"231",231,"Genap 2009","2075","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"232",232,"Ganjil 2009","2367","Universitas Persada Indonesia Yai","Psikologi","Aktif","14 Februari 1985"
"233",233,"Ganjil 2017","1112","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"234",234,"Genap 2016","1469","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"235",235,"Ganjil 2016","1689","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"236",236,"Genap 2015","1857","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"237",237,"Ganjil 2015","1040","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"238",238,"Genap 2014","935","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"239",239,"Ganjil 2014","1977","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"240",240,"Genap 2013","1785","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"241",241,"Ganjil 2013","1981","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"242",242,"Genap 2012","1826","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"243",243,"Ganjil 2012","1953","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"244",244,"Genap 2011","1760","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"245",245,"Ganjil 2011","1907","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"246",246,"Genap 2010","1625","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"247",247,"Ganjil 2010","1802","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"248",248,"Genap 2009","1604","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"249",249,"Ganjil 2009","1918","Universitas Persada Indonesia Yai","Akuntansi","Aktif","14 Februari 1972"
"250",250,"Ganjil 2017","701","Universitas Persada Indonesia Yai","Teknik Informatika","Aktif","20 Mei 1985"
